ID,Date,Description,Amount
1,12/4/30,Automatuttag shb  ,-1900.00
2,12/4/30,WIDEGREN TV&RADI  ,-995.00
3,12/4/30,DELI ITALIA SEGE  ,-327.00
4,12/4/30,COOP EXTRA STUVS  ,-788.41
5,12/4/30,HURRY CURRY  ,-79.00
6,12/4/30,K D STUVSTA  ,-44.50
7,12/4/30,K D STUVSTA  ,-99.00
8,12/4/27,SERVER HANGOVEGE  ,-800.00
9,12/4/27,RESTAURANG GASTR  ,-66.00
10,12/4/27,P-bilskatt  ,-1245.00
11,12/4/26,BROMMA FLYGPLATS  ,-260.00
12,12/4/26,RESTAURANG BOLME  ,-73.00
13,12/4/26,TAKE IT THAI&SUS  ,-219.00
14,12/4/26,RESTAURANG CHOPS  ,-98.00
15,12/4/26,E.ON Försäljning  ,-1812.00
16,12/4/25,QPARK AB  ,-15.00
17,12/4/25,RESTAURANG OAZEN  ,-78.00
18,12/4/24,IZMIR KEBAB HB  ,-55.00
19,12/4/24,HEMKÖP MATBÖRSEN  ,-35.15
20,12/4/24,DIN-X HUDDINGE  ,-800.14
21,12/4/23,TAXI STOCKHOLM  ,-300.00
22,12/4/23,WAGAMAMA  ,-13.00
23,12/4/23,WAGAMAMA  ,-517.00
24,12/4/23,COOP EXTRA STUVS  ,-995.92
25,12/4/23,ISS FS / STHLMS  ,-200.00
26,12/4/20,"TOYS""R""US - 3203  ",-418.80
27,12/4/20,RESTAURANG IN  ,-87.00
28,12/4/20,ICA NARA STUVSTA  ,-45.50
29,12/4/19,SUSHIBAR WASABI  ,-170.00
30,12/4/18,QPARK AB  ,-15.00
31,12/4/18,HEMKÖP MATBÖRSEN  ,-213.13
32,12/4/18,TAKE IT THAI&SUS  ,-216.00
33,12/4/18,RESTAURANG CHOPS  ,-98.00
34,12/4/17,SL Alvsjo  ,-790.00
35,12/4/17,SERVER HANGOVEGE  ,-89.00
36,12/4/17,STOCKHOLMSMESSAN  ,-280.00
37,12/4/16,DIJKHOF FLOWERBU  ,-270.00
38,12/4/16,ÄLVSJÖ INFARTS P  ,-25.00
39,12/4/16,DROTTNINGGATANS  ,-231.00
